record_id,title,authors,year,source_db,venue,doi,subtopic,included,exclusion_reason,qac_score,nist_level,domain,migration_strategy,corpus_type,peer_reviewed,audit_note
001,Module-Lattice-Based Key-Encapsulation Mechanism Standard,NIST,2024,NIST,FIPS 203,10.6028/NIST.FIPS.203,PQC_Algorithms,1,,5,1/3/5,All,S1/S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
002,Module-Lattice-Based Digital Signature Standard,NIST,2024,NIST,FIPS 204,10.6028/NIST.FIPS.204,PQC_Algorithms,1,,5,1/3/5,All,S2/S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
003,Stateless Hash-Based Digital Signature Standard,NIST,2024,NIST,FIPS 205,10.6028/NIST.FIPS.205,PQC_Algorithms,1,,5,1/3/5,PKI,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
004,Status Report on the Third Round of the NIST PQC Standardization Process,Alagic et al.,2022,Web_of_Science,NISTIR 8413,10.6028/NIST.IR.8413,PQC_Algorithms,1,,5,1/3/5,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
005,Status Report on the Second Round,Alagic et al.,2020,Web_of_Science,NISTIR 8309,10.6028/NIST.IR.8309,PQC_Algorithms,1,,5,1/3/5,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
006,Status Report on the First Round,Alagic et al.,2019,Web_of_Science,NISTIR 8240,10.6028/NIST.IR.8240,PQC_Algorithms,1,,4,1/3/5,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
007,Report on Post-Quantum Cryptography,Chen et al.,2016,IEEE_Xplore,NISTIR 8105,10.6028/NIST.IR.8105,PQC_Algorithms,1,,4,1/3/5,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
013,Post-Quantum Cryptography: Call for Proposals,NIST,2016,NIST,Fed. Register,N/A,PQC_Algorithms,1,,5,N/A,All,N/A,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
019,pqm4: Testing and Benchmarking NIST PQC on ARM Cortex-M4,Kannwischer et al.,2019,Other,NIST PQC Conf.,N/A,ML-KEM,1,,5,1/3,IoT,S10,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
031,CRYSTALS-Dilithium Algorithm Specifications,Bai et al.,2021,Other,NIST Submission,N/A,ML-DSA,1,,5,1/3/5,All,S7,normative,No,Grey-lit or normative document; NOT counted in peer-reviewed corpus
